N,w,concurrent_events,label,union_bound
4982863.514647296,36,2,baseline local write set (w=36),0.0002600914105293802
5383843.622033478,36,2,baseline local write set (w=36),0.00024072021607315943
5817091.329374358,36,2,baseline local write set (w=36),0.00022279175736087124
6285203.269240097,36,2,baseline local write set (w=36),0.00020619858172967107
6790985.029955707,36,2,baseline local write set (w=36),0.00019084123942008646
7337467.970651388,36,2,baseline local write set (w=36),0.00017662768753250814
7927927.389450606,36,2,baseline local write set (w=36),0.00016347273837605253
8565902.153685499,36,2,baseline local write set (w=36),0.0001512975489035201
9255215.909791354,36,2,baseline local write set (w=36),0.00014002914817242944
10000000.0,36,2,baseline local write set (w=36),0.0001296
1000.0,36,4,baseline local write set (w=36),1.0
1080.4718223181285,36,4,baseline local write set (w=36),1.0
1167.4193588234587,36,4,baseline local write set (w=36),1.0
1261.3637220374437,36,4,baseline local write set (w=36),1.0
1362.867959355774,36,4,baseline local write set (w=36),1.0
1472.5404276241222,36,4,baseline local write set (w=36),1.0
1591.0384392721533,36,4,baseline local write set (w=36),1.0
1719.0722018585745,36,4,baseline local write set (w=36),1.0
1857.4090746385718,36,4,baseline local write set (w=36),1.0
2006.8781676649664,36,4,baseline local write set (w=36),1.0
2168.375310987435,36,4,baseline local write set (w=36),1.0
2342.8684237322327,36,4,baseline local write set (w=36),1.0
2531.403315241567,36,4,baseline local write set (w=36),1.0
2735.1099530412107,36,4,baseline local write set (w=36),1.0
2955.2092352028876,36,4,baseline local write set (w=36),1.0
3193.020307691027,36,4,baseline local write set (w=36),1.0
3449.9684705497157,36,4,baseline local write set (w=36),1.0
3727.593720314938,36,4,baseline local write set (w=36),1.0
4027.5599798502976,36,4,baseline local write set (w=36),1.0
4351.665070924416,36,4,baseline local write set (w=36),1.0
4701.851489299852,36,4,baseline local write set (w=36),1.0
5080.218046913023,36,4,baseline local write set (w=36),1.0
5489.032450921557,36,4,baseline local write set (w=36),1.0
5930.744895010558,36,4,baseline local write set (w=36),1.0
6408.002744415996,36,4,baseline local write set (w=36),1.0
6923.6664026787275,36,4,baseline local write set (w=36),1.0
7480.826455225086,36,4,baseline local write set (w=36),1.0
8082.822192522714,36,4,baseline local write set (w=36),0.9620402150122082
8733.261623828437,36,4,baseline local write set (w=36),0.8903889903840075
9436.04310147889,36,4,baseline local write set (w=36),0.8240742349705127
10195.378685327301,36,4,baseline local write set (w=36),0.7626984970348227
11015.819387358995,36,4,baseline local write set (w=36),0.7058939264130645
11902.282447787144,36,4,baseline local write set (w=36),0.6533200698363282
12860.08080610565,36,4,baseline local write set (w=36),0.6046618304535183
13894.95494373136,36,4,baseline local write set (w=36),0.5596275793256965
15013.107289081743,36,4,baseline local write set (w=36),0.5179474075733198
16221.239391291729,36,4,baseline local write set (w=36),0.47937150870077766
17526.592085367585,36,4,baseline local write set (w=36),0.4436686814028121
18936.988889503602,36,4,baseline local write set (w=36),0.41062494387954585
20460.88289466011,36,4,baseline local write set (w=36),0.3800422513551155
22107.407427431233,36,4,baseline local write set (w=36),0.35173730911347895
23886.430789846003,36,4,baseline local write set (w=36),0.3255404739374263
25808.615404180768,36,4,baseline local write set (w=36),0.3012947373666685
27885.481717262915,36,4,baseline local write set (w=36),0.2788547846812398
30129.47724726992,36,4,baseline local write set (w=36),0.2580861239703253
32554.05118685032,36,4,baseline local write set (w=36),0.23886428006665386
35173.7350096938,36,4,baseline local write set (w=36),0.22107404851537524
38004.22956365882,36,4,baseline local write set (w=36),0.20460880510614865
41062.49917244294,36,4,baseline local write set (w=36),0.18936986683018253
44366.87330978607,36,4,baseline local write set (w=36),0.17526590043217755
47937.15645558219,36,4,baseline local write set (w=36),0.16221237501237937
51794.74679231213,36,4,baseline local write set (w=36),0.15013105539796148
55962.76445319552,36,4,baseline local write set (w=36),0.13894953324729803
60466.19009070435,36,4,baseline local write set (w=36),0.12860079307684755
65332.014595937704,36,4,baseline local write set (w=36),0.11902281060966251
70589.40086618738,36,4,baseline local write set (w=36),0.11015818103826316
76269.85859023451,36,4,baseline local write set (w=36),0.10195377497390075
82407.43309893666,36,4,baseline local write set (w=36),0.09436042002017336
89038.90941296735,36,4,baseline local write set (w=36),0.08733260606253032
96204.0327106476,36,4,baseline local write set (w=36),0.08082821250734715
103945.74653722627,36,4,baseline local write set (w=36),0.07480825583579957
112310.45018329515,36,4,baseline local write set (w=36),0.06923665595952341
121348.27677491431,36,4,baseline local write set (w=36),0.06408001997773315
131113.3937421563,36,4,baseline local write set (w=36),0.05930744203976636
141664.32746690192,36,4,baseline local write set (w=36),0.05489031811354742
153064.31405563562,36,4,baseline local write set (w=36),0.050802174549801266
165381.6783395673,36,4,baseline local write set (w=36),0.04701850941453171
178690.24337358287,36,4,baseline local write set (w=36),0.043516645638804835
193069.77288832495,36,4,baseline local write set (w=36),0.04027559510570191
208606.44934719568,36,4,baseline local write set (w=36),0.03727593285986071
225393.39047347935,36,4,baseline local write set (w=36),0.03449968068568965
243531.20734334175,36,4,baseline local write set (w=36),0.03193019935649163
263128.6073895944,36,4,baseline local write set (w=36),0.0295520889087011
284303.0459302665,36,4,baseline local write set (w=36),0.0273510963435379
307181.43012686964,36,4,baseline local write set (w=36),0.02531403020289481
