N,degree,coupling,seeds,trial,cascade_size
20000,2,0.85,4,51,5
20000,2,0.85,4,52,10
20000,2,0.85,4,53,6
20000,2,0.85,4,54,7
20000,2,0.85,4,55,8
20000,2,0.85,4,56,7
20000,2,0.85,4,57,11
20000,2,0.85,4,58,12
20000,2,0.85,4,59,5
20000,2,0.85,4,60,14
20000,2,0.85,4,61,5
20000,2,0.85,4,62,12
20000,2,0.85,4,63,6
20000,2,0.85,4,64,8
20000,2,0.85,4,65,5
20000,2,0.85,4,66,10
20000,2,0.85,4,67,21
20000,2,0.85,4,68,4
20000,2,0.85,4,69,4
20000,2,0.85,4,70,5
20000,2,0.85,4,71,7
20000,2,0.85,4,72,5
20000,2,0.85,4,73,9
20000,2,0.85,4,74,7
20000,2,0.85,4,75,13
20000,2,0.85,4,76,4
20000,2,0.85,4,77,6
20000,2,0.85,4,78,12
20000,2,0.85,4,79,18
20000,2,0.85,4,80,5
20000,2,0.85,4,81,6
20000,2,0.85,4,82,7
20000,2,0.85,4,83,12
20000,2,0.85,4,84,10
20000,2,0.85,4,85,12
20000,2,0.85,4,86,14
20000,2,0.85,4,87,6
20000,2,0.85,4,88,14
20000,2,0.85,4,89,13
20000,2,0.85,4,90,6
20000,2,0.85,4,91,11
20000,2,0.85,4,92,6
20000,2,0.85,4,93,3
20000,2,0.85,4,94,12
20000,2,0.85,4,95,11
20000,2,0.85,4,96,13
20000,2,0.85,4,97,9
20000,2,0.85,4,98,10
20000,2,0.85,4,99,14
20000,2,0.85,4,100,6
20000,2,0.85,4,101,9
20000,2,0.85,4,102,6
20000,2,0.85,4,103,12
20000,2,0.85,4,104,6
20000,2,0.85,4,105,7
20000,2,0.85,4,106,14
20000,2,0.85,4,107,10
20000,2,0.85,4,108,10
20000,2,0.85,4,109,13
20000,2,0.85,4,110,4
20000,2,0.85,4,111,6
20000,2,0.85,4,112,22
20000,2,0.85,4,113,7
20000,2,0.85,4,114,15
20000,2,0.85,4,115,12
20000,2,0.85,4,116,8
20000,2,0.85,4,117,4
20000,2,0.85,4,118,2
20000,2,0.85,4,119,9
5000,2,1.0,4,0,13
5000,2,1.0,4,1,13
5000,2,1.0,4,2,9
5000,2,1.0,4,3,11
5000,2,1.0,4,4,14
5000,2,1.0,4,5,7
5000,2,1.0,4,6,10
5000,2,1.0,4,7,7
5000,2,1.0,4,8,14
5000,2,1.0,4,9,15
5000,2,1.0,4,10,16
5000,2,1.0,4,11,10
5000,2,1.0,4,12,17
5000,2,1.0,4,13,16
5000,2,1.0,4,14,2
5000,2,1.0,4,15,13
5000,2,1.0,4,16,10
5000,2,1.0,4,17,8
5000,2,1.0,4,18,11
5000,2,1.0,4,19,9
5000,2,1.0,4,20,12
5000,2,1.0,4,21,21
5000,2,1.0,4,22,12
5000,2,1.0,4,23,9
5000,2,1.0,4,24,11
5000,2,1.0,4,25,5
5000,2,1.0,4,26,24
5000,2,1.0,4,27,7
5000,2,1.0,4,28,1
5000,2,1.0,4,29,8
5000,2,1.0,4,30,10
5000,2,1.0,4,31,21
5000,2,1.0,4,32,8
5000,2,1.0,4,33,12
5000,2,1.0,4,34,18
5000,2,1.0,4,35,21
5000,2,1.0,4,36,16
5000,2,1.0,4,37,12
5000,2,1.0,4,38,5
5000,2,1.0,4,39,4
5000,2,1.0,4,40,3
5000,2,1.0,4,41,15
5000,2,1.0,4,42,11
5000,2,1.0,4,43,13
5000,2,1.0,4,44,11
5000,2,1.0,4,45,17
5000,2,1.0,4,46,15
5000,2,1.0,4,47,6
5000,2,1.0,4,48,9
5000,2,1.0,4,49,5
5000,2,1.0,4,50,12
5000,2,1.0,4,51,16
5000,2,1.0,4,52,18
5000,2,1.0,4,53,13
5000,2,1.0,4,54,10
5000,2,1.0,4,55,18
5000,2,1.0,4,56,23
5000,2,1.0,4,57,8
5000,2,1.0,4,58,6
5000,2,1.0,4,59,20
5000,2,1.0,4,60,8
5000,2,1.0,4,61,8
5000,2,1.0,4,62,15
5000,2,1.0,4,63,14
5000,2,1.0,4,64,15
5000,2,1.0,4,65,6
5000,2,1.0,4,66,15
5000,2,1.0,4,67,10
5000,2,1.0,4,68,9
5000,2,1.0,4,69,12
5000,2,1.0,4,70,1
5000,2,1.0,4,71,9
5000,2,1.0,4,72,10
5000,2,1.0,4,73,15
5000,2,1.0,4,74,13
5000,2,1.0,4,75,14
5000,2,1.0,4,76,16
5000,2,1.0,4,77,14
5000,2,1.0,4,78,11
5000,2,1.0,4,79,9
5000,2,1.0,4,80,24
5000,2,1.0,4,81,11
5000,2,1.0,4,82,4
5000,2,1.0,4,83,4
5000,2,1.0,4,84,10
5000,2,1.0,4,85,19
5000,2,1.0,4,86,21
5000,2,1.0,4,87,9
5000,2,1.0,4,88,8
5000,2,1.0,4,89,8
5000,2,1.0,4,90,15
5000,2,1.0,4,91,14
5000,2,1.0,4,92,12
5000,2,1.0,4,93,15
5000,2,1.0,4,94,11
5000,2,1.0,4,95,0
5000,2,1.0,4,96,17
5000,2,1.0,4,97,6
5000,2,1.0,4,98,4
5000,2,1.0,4,99,6
5000,2,1.0,4,100,18
5000,2,1.0,4,101,20
5000,2,1.0,4,102,19
5000,2,1.0,4,103,5
5000,2,1.0,4,104,0
5000,2,1.0,4,105,6
5000,2,1.0,4,106,7
5000,2,1.0,4,107,18
5000,2,1.0,4,108,20
5000,2,1.0,4,109,11
5000,2,1.0,4,110,10
5000,2,1.0,4,111,13
5000,2,1.0,4,112,16
5000,2,1.0,4,113,10
5000,2,1.0,4,114,13
5000,2,1.0,4,115,25
5000,2,1.0,4,116,27
5000,2,1.0,4,117,14
5000,2,1.0,4,118,10
5000,2,1.0,4,119,8
20000,2,1.0,4,0,11
20000,2,1.0,4,1,10
20000,2,1.0,4,2,5
20000,2,1.0,4,3,8
20000,2,1.0,4,4,13
20000,2,1.0,4,5,21
20000,2,1.0,4,6,10
20000,2,1.0,4,7,12
20000,2,1.0,4,8,17
20000,2,1.0,4,9,7
20000,2,1.0,4,10,14
20000,2,1.0,4,11,17
20000,2,1.0,4,12,9
20000,2,1.0,4,13,13
20000,2,1.0,4,14,25
20000,2,1.0,4,15,12
20000,2,1.0,4,16,14
20000,2,1.0,4,17,15
20000,2,1.0,4,18,9
20000,2,1.0,4,19,10
20000,2,1.0,4,20,18
20000,2,1.0,4,21,7
20000,2,1.0,4,22,25
20000,2,1.0,4,23,11
20000,2,1.0,4,24,19
20000,2,1.0,4,25,11
20000,2,1.0,4,26,12
20000,2,1.0,4,27,12
20000,2,1.0,4,28,12
20000,2,1.0,4,29,11
20000,2,1.0,4,30,18
20000,2,1.0,4,31,13
20000,2,1.0,4,32,16
20000,2,1.0,4,33,9
20000,2,1.0,4,34,13
20000,2,1.0,4,35,20
20000,2,1.0,4,36,14
20000,2,1.0,4,37,13
20000,2,1.0,4,38,12
20000,2,1.0,4,39,6
20000,2,1.0,4,40,13
20000,2,1.0,4,41,9
20000,2,1.0,4,42,10
20000,2,1.0,4,43,5
20000,2,1.0,4,44,15
20000,2,1.0,4,45,11
20000,2,1.0,4,46,20
20000,2,1.0,4,47,17
20000,2,1.0,4,48,12
20000,2,1.0,4,49,16
20000,2,1.0,4,50,14
20000,2,1.0,4,51,17
20000,2,1.0,4,52,7
20000,2,1.0,4,53,16
20000,2,1.0,4,54,15
20000,2,1.0,4,55,18
20000,2,1.0,4,56,11
20000,2,1.0,4,57,15
20000,2,1.0,4,58,20
20000,2,1.0,4,59,11
20000,2,1.0,4,60,1
20000,2,1.0,4,61,22
20000,2,1.0,4,62,14
20000,2,1.0,4,63,15
20000,2,1.0,4,64,10
20000,2,1.0,4,65,8
20000,2,1.0,4,66,15
20000,2,1.0,4,67,14
20000,2,1.0,4,68,8
20000,2,1.0,4,69,11
20000,2,1.0,4,70,20
20000,2,1.0,4,71,11
20000,2,1.0,4,72,17
20000,2,1.0,4,73,12
20000,2,1.0,4,74,10
20000,2,1.0,4,75,8
20000,2,1.0,4,76,8
20000,2,1.0,4,77,17
20000,2,1.0,4,78,7
20000,2,1.0,4,79,14
20000,2,1.0,4,80,12
20000,2,1.0,4,81,24
20000,2,1.0,4,82,24
20000,2,1.0,4,83,12
20000,2,1.0,4,84,10
20000,2,1.0,4,85,14
20000,2,1.0,4,86,18
